relevant,type,sentence
0,0,monson.
0,0,"maine history 1822 - 1972 history of monson, maine foreword the following data has been gathered and as sembled with as much accuracy as possible."
0,0,this history could not have been compiled without the many hours of help freely given by the citizens of monson.
0,0,"the main sources of information for this book are listed at the back, for the convenience of the reader."
0,0,"may this history bring pleasure to the readers now and in the future, but especially to those with memories of the past."
0,0,"jeanne brown reed althea haggstrom french elizabeth emanuelson davis history of monson, maine the white house washington june 19, 1972 maine"
0,0,"to the people of monson, maine the observance of your one the observance of your one hundred and fiftieth anniversary is an occasion of deep pride for you as well as for the nation."
0,0,the high purpose and vital community spirit that are reflected in your eventful history are in the best tradition of our american way of life.
0,0,"armed with these same qualities in the years ahead, i know that you will strive to be in the vanguard of constructive civic accomplishment."
0,0,"i welcome your full partnership in the demanding tasks we face as a nation, and in the good that promises to come from our united efforts."
0,0,"history of monson, maine kenneth m curtis may 3, 1972 citizens of monson town manager's office monson, maine dear citizens "
0,0,as governor of the state of maine i want to express the best wishes of all citizens in congratulating you on the occasion of your 150th birthday.
0,0,"my schedule for june does not permit me to attend the celebration you have planned for june 24 to commemorate this birthday, but i want to convey my best wishes and trust that this milestone in your history will be one that leads you into a new era of prosperity for your community."
0,0,"history of monson, maine sesquicentennial committee names - back row, l. to r.: robert lander, linda rongner, joyce kelley, john ruksznis, joyce brown, dorcas leavitt, althea french, eloise stevens, kendrick benton."
0,0,"seated: elizabeth davis, aimee kugler, esther pennington, elza smith, george rongner, front row: vikki leavitt, jeanne reed."
0,0,chairman: kendrick benton.
0,0,co-chairman: george rongner.
0,0,treasurer: elizabeth davis.
0,0,"general committee: r. lander, j. ruksznis, a. french, l. rongner, j. kelley, d. leavitt, v. leavitt, j. reed, e. stevens, and j. brown."
0,0,"united circle committee: a. kugler, e. pennington, and e. smith."
0,0,"history of monson, maine selectmen l. to r.: paul b. allen, frank w. nelson, worden w. smith town manager town clerk robert e. lander stanley a. robinson history of monson 1822 - 1972 early history: monson was incorporated as a town by an act of state legislature on february 8, 1822. this territory was first in the possession of massachusetts."
0,0,"on february 27, 1811, massachusetts granted 11,520 acres to hebron academy and on june 17, 1811, granted 11,520 acres to monson academy."
0,0,"in 1820, maine became a state."
0,0,"april 22, 1822, was the setting of the first meeting topform a town government."
0,0,"the inhabitants of this town, in response to a warrant issued by samuel pingree, esq., of parkman, met at the house of whitney, hyde & co., for the purpose of completing the organization as a town by the choice of the necessary officers."
0,0,"this they did by choosing andrew cushman, moderator; samuel whit ney, town clerk; samuel whitney, andrew cushman and abel goodell, selectmen and assessors; lucius hyde, treasurer; austin newell, constable and col lctor; abel goodell, lucius hyde and chauncey l. colton, school committee; and lling the other offices by the choice of good and true men."
0,0,"the number of voters in the town at the time of its organiza tion was twenty-one, namely: amos atkinson, win."
0,0,"blunt, amasa chapin, calvin cushman, geo."
0,0,"douty, abel goodell, wm."
0,0,"a. hyde, lucius hyde, joseph jack son, austin newell, abiel packard, shepherd packard, asa piper, horatio sherman, isaac tyler, samuel whitney and samuel weymouth."
0,0,the total population numbered ninety at that time.
