Relevant,Type,,Sentence
0,0,,monson.
0,0,,"maine history 1822 - 1972 history of monson, maine foreword the following data has been gathered and asï¿½ï¿½ sembled with as much accuracy as possi"
0,0,,this history could not have been compiled without the many hours of help freely given by the citizens of monson.
0,0,,"the main sources of information for this book are listed at the back, for the convenience of the reader."
0,0,,"may this history bring pleasure to the readers now and in the future, but especially to those with memories of the past."
0,0,,"jeanne brown reed althea haggstrom french elizabeth emanuelson davis history of monson, maine the white house washington june 19, 1972 to the people of monson, maine the observance of your one hundred and fiftieth anniversary is an occasion of deep pride for you as well as for the nation."
0,0,,the high purpose and vital communityspirit that are reflected in your eventful history are in the best tradition of our american way of life.
0,0,,"armedwith these same qualities in the years ahead, i knowthat you will strive to be in the vanguard of constructive civic accomplishï¿½ï¿½ m"
0,0,,"i welcomeyour full partnership in the demanding tasks we face as a nation, and in the good that promises to come from our united efforts."
0,0,,"history of monson, maine kenneth m curtis may 3, 1972 citizens of monson town manager's office monson, maine dear citizens: as governor of the state of maine i want to express the best wishes of all citizens in congratulating you on the occasion of your 150th birthday."
0,0,,"my schedule for june does not permit me to attend the celebration you have planned for june 24 to commemorate this birthday, but i want to convey my best wishes and trust that this milestone in your history will be one that leads you into a new era of prosperity for your community."
,,,"ýý history of monson, maine sesquicentennial committee names - back row, l. to r.: robert lander, linda rongner, joyce kelley, john ruksznis, joyce brown, dorcas leavitt, althea french, eloise stevens, kendrick benton."
,,,"seated: elizabeth davis, aimee kugler, esther pennington, elza smith, george rongner, front row: vikki leavitt, jeanne reed."
,,,chairman: kendrick benton.
,,,co~chairman: george rongner.
,,,treasurer: elizabeth davis.
,,,"general committee: r. lander, j. ruksznis, a. french, l. rongner, j. kelley, d. leavitt, v. leavitt, j. reed, e. stevens, and j. brown."
,,,"united circle committee: a. kugler, e. pennington, and e. smith."
,,,"history of monson, maine selectmen l. to r.: paul b. allen, frank w. nelson, worden w. smith town manager town clerk robert e. lander stanley a. robinson history of monson 1822 - 1972 early history: monson was incorporated as a town by an act of state legislature on february 8, 1822. this territory was first in the possession of massachusetts."
,,,"on february 27, 1811, massachusetts granted 11,520 acres to hebron academy and on june 17, 1811, granted 11,520 acres toï¿½ï¿½ï¿½ monson ac"
,,,"in 1820, maine became a state."
,,,"april 22, 1822, was the setting of the first meeting topform a town government."
,,,"the inhabitants of this town, in response to a warrant issued by samuel pingree, esq., of parkman, met at the house of whitney, hyde & co., for the purpose of completing the organization as a town by the choice of the necessary officers."
,,,"this they did by choosing andrew cushman, moderator; samuel whitï¿½ï¿½ ney, town clerk; samuel whitney, andrew cushman and abel goodell, selectmen and assessors; lucius hyde, treasurer; austin newell, constable and colï¿½ï¿½ lctor; abel goodell, lucius hyde and chauncey l. colton, school committee; and ï¿½ï¿½ï¿½lling the other offices by the choice of good"
,,,"the number of voters in the town at the time of its organizaï¿½ï¿½ tion was twenty-one, namely: amos atkinson, "
,,,"blunt, amasa chapin, calvin cushman, geo."
,,,"douty, abel goodell, wm."
,,,"a. hyde, lucius hyde, joseph jackï¿½ï¿½ son, austin newell, abiel packard, shepherd packard, asa piper, horatio sherman, isaac tyler, samuel whitney and samuel weymo"
,,,the total population numbered ninety at that time.
,,,"monson continued toï¿½ï¿½ run on the selectmen form of government until 1943, when they decided to elect a town manager to run the business of the t"
,,,"the town manager also serves as 10 history of monson, maine tax collector, road commissioner and treasurer."
,,,the ï¿½ï¿½ï¿½rst to be elected for this office was lyle towne who held the position until 1955. to date monson has had four town man
,,,"the ï¿½ï¿½ï¿½rst settler in this town was joseph bearce, who came from hebron in 1816. he had been here the preï¿½ï¿½ vious year and felled a "
,,,he commenced on lot numbered nine in the second range.
,,,"during that summer, 1816, he cleared a ï¿½ï¿½ï¿½eld and built a small log "
